name,price,secondaryPrice,markupPercent,description,estimatedTimeHours
Disassemble a Charcoal Kettle BBQ Grill,5900,4800,6.0606,,1
Disassemble a Gas BBQ Grill (2-3 burners),6400,5200,13.6364,,1
Disassemble a Gas BBQ Grill (4-6 burners),7400,6200,20.3081,,1.1
Disassemble a Bed (Double),5900,4800,6.0606,,1
Disassemble a Bed (King),5900,4800,6.0606,,1
Disassemble a Bed (Single),5900,4800,6.0606,,1
Disassemble a Storage Bed (Double),6900,5600,21.2121,,1
Disassemble a Storage Bed (Single),5900,4800,6.0606,,1
Disassemble a Storage Bed (King),7400,6200,20.3081,,1.1
Disassemble a 2-Drawer Chest,5900,4800,6.0606,,1
Disassemble a 3-Drawer Chest,5900,4800,6.0606,,1
Disassemble a 4-Drawer Chest,6900,5600,21.2121,,1
Disassemble a 5-Drawer Chest,7900,6700,19.5313,,1.2
Disassemble a 6-Drawer Chest,9400,8100,23.9726,,1.4
Disassemble a Coffee Table,5900,4800,6.0606,,1
Disassemble a Cube Storage Unit (Over 12 Cubes),5900,4800,6.0606,,1
Disassemble a Cube Storage Unit (Up To 12 Cubes),5900,4800,6.0606,,1
Disassemble a Cube Storage Unit (Up To 6 Cubes),5900,4800,6.0606,,1
Disassemble 1-4 Dining Chairs,5900,4800,6.0606,,1
Disassemble 5-6 Dining Chairs,5900,4800,6.0606,,1
Disassemble 7-8 Dining Chairs,5900,4800,6.0606,,1
Disassemble a Dining Table (up to 6 Seats),5900,4800,6.0606,,1
Disassemble a Dining Table (up to 12 Seats),5900,4800,6.0606,,1
Disassemble a Filing Cabinet,5900,4800,6.0606,,1
Disassemble a Bookcase (less than 1m wide),5900,4800,6.0606,,1
Disassemble a Bookcase (more than 1m wide),5900,4800,6.0606,,1
Disassemble a Flat-Pack Cabinet (less than 1m wide),5900,4800,6.0606,,1
Disassemble a Flat-Pack Cabinet (more than 1m wide),5900,4800,6.0606,,1
Disassemble a Sofa (2-3 seats),5900,4800,6.0606,,1
Disassemble a Sofa (sectional / L-shape),5900,4800,6.0606,,1
Disassemble a Sofa Bed,5900,4800,6.0606,,1
Disassemble a Shelving Unit (more than 1m Wide),5900,4800,6.0606,,1
Disassemble a Shelving Unit (less than 1m Wide),5900,4800,6.0606,,1
Disassemble a Garden Bench,5900,4800,6.0606,,1
Disassemble a Garden Table,5900,4800,6.0606,,1
Wardrobe (less than 1.5m wide) with hinge doors,8400,7100,26.0417,,1.2
Wardrobe (more than 1.5m wide) with hinge doors,13400,12100,28.3333,,2
Built-in Wardrobe (less than 1.5m wide) with hinge doors,13400,12100,28.3333,,2
Built-in Wardrobe (more than 1.5m wide) with hinge doors,16900,15600,27.5591,,2.6
Disassemble a Hospital Bed,7900,6700,19.5313,,1.2
Disassemble an Office Chair,5900,4800,6.0606,,1
Disassemble a Corner Desk,5900,4800,6.0606,,1
Disassemble an Office Desk (up to 1.5m wide),5900,4800,6.0606,,1
Disassemble an Office Desk (more than 1.5m wide),5900,4800,6.0606,,1
Disassemble an Ottoman Storage,5900,4800,6.0606,,1
Disassemble a Patio Set (table and chairs),5900,4800,6.0606,,1
Disassemble a Recliner Chair,5900,4800,6.0606,,1
Disassemble a Side Table,5900,4800,6.0606,,1
Wardrobe (less than 1.5m wide) with sliding doors,10400,9000,35.3881,,1.4
Built-in Wardrobe (less than 1.5m wide) with sliding doors,15400,14100,25.4237,,2.4
Wardrobe (more than 1.5m wide) with sliding doors,15400,14100,25.4237,,2.4
Built-in Wardrobe (more than 1.5m wide) with sliding doors,18900,17600,28.7663,,2.9
Disassemble a Swing Seat,5900,4800,6.0606,,1
Disassemble a TV Stand,5900,4800,6.0606,,1
Stair Repairs - Single Step,7400,6100,28.7879,,1
Power Flush (Up to 6 radiators),54400,53200,17.184,,9.8
Power Flush (7 - 12 radiators),74400,73200,19.3157,,13.2
Power Flush (13 - 18 radiators),84400,83200,16.7141,,15.4
System Balancing (Up to 6 radiators),12400,11200,20,,2
System Balancing (7 - 12 radiators),19400,18100,24.8049,,3.1
System Balancing (13 - 18 radiators),27400,26100,24.1176,,4.5
Full Gas Central Heating Service,17400,16100,23.2843,,2.8
Install a new Wireless Thermostat,9400,8100,23.9726,,1.4
Replace a Wireless Thermostat,11400,10100,21.0623,,1.8
Charcoal kettle BBQ,4900,3700,15.0602,,0.7
Gas BBQ (2–3 burners),6900,5600,21.2121,,1
Gas BBQ (4–6 burners),9900,8600,23.1183,,1.5
Carpet Cleaning (1 room),7400,6200,20.3081,,1.1
Carpet Cleaning (2 rooms),11400,10100,21.0623,,1.8
"Single Freezer Clean (Small, under the counter)",3900,2700,16.6667,,0.5
Single Freezer Clean (Large/tall),5400,4100,25.1004,,0.7
Chest Freezer Clean,5400,4100,25.1004,,0.7
Single Fridge Clean (Large/tall),5400,4100,25.1004,,0.7
American Style Fridge Freezer Clean,6400,5100,22.2772,,0.9
"Single Fridge Clean (Small, under the counter)",3900,2700,16.6667,,0.5
Fridge Freezer Clean (Standard),5400,4100,25.1004,,0.7
Domestic cooker hood – cosmetic cleaning,2900,1700,19.5035,,0.3
Domestic cooker hood – deep cleaning,6900,5500,30.5281,,0.9
Commercial canopy & filter clean (up to 2m),17700,16400,21.6489,,2.9
Commercial canopy & duct clean (up to 5m run),29400,28100,22.9573,,4.9
2-oven AGA,9900,8600,23.1183,,1.5
3-oven AGA,11400,10100,21.0623,,1.8
4-oven AGA,12400,11200,20,,2
Single Oven,6400,5200,13.6364,,1
Single Oven + Hob,8400,7100,26.0417,,1.2
Double Oven,9400,8000,31.0219,,1.3
Single Oven + Hob + Extractor,10400,9100,22.3577,,1.6
Double Oven + Hob,11400,10100,26.4933,,1.7
Range Cooker,11900,10600,25.641,,1.8
Double Oven + Hob + Extractor,12900,11600,24.1667,,2
Range Cooker + Hob,13900,12600,27.512,,2.1
Range Cooker + Hob + Extractor,15900,14600,28.9548,,2.4
Delicate rug hand clean (silk/wool) – small (up to 1.5m x 1m),7900,6700,19.5313,,1.2
Delicate rug hand clean (silk/wool) – medium (up to 2m x 1.5m),12400,11100,24.8691,,1.9
Delicate rug hand clean (silk/wool) – large (greater than 2m x 1.5m),15900,14600,24.8299,,2.5
Rug cleaning – small (up to 1.5m x 1m),3400,2200,17.8571,,0.4
Rug cleaning – medium (up to 2m x 1.5m),4900,3700,15.0602,,0.7
Rug cleaning – large (greater than 2m x 1.5m),7400,6200,20.3081,,1.1
"Septic Tank Emptying (Up to 1,000 gallons)",17400,16200,19.8695,,2.9
"Septic Tank Emptying (Up to 2,000 gallons)",27900,26700,17.5343,,4.9
"Septic Tank Emptying (Up to 3,000 gallons)",49400,48200,14.7994,,9.1
Footstool Cleaning,5900,4800,6.0606,,1
Armchair Cleaning,7400,6200,20.3081,,1.1
2-Seater Sofa Cleaning,7400,6200,20.3081,,1.1
"Domestic wheelie bin clean (1 bin, 120–360L)",1900,600,25.8621,,0.1
"Commercial bin clean (1 bin, 660–1100L)",3400,2200,17.8571,,0.4
Terraced House - Up to 10 Windows - Outside only,3400,2400,3.8462,,0.5
Terraced House - Up to 10 Windows - Inside only,3400,2400,3.8462,,0.5
Semi-detached House - Up to 10 Windows - Outside only,4400,3200,15.7658,,0.6
Semi-detached House - Up to 10 Windows - Inside only,4400,3200,15.7658,,0.6
Terraced House - 11 to 15 Windows - Outside only,5400,4200,14.4928,,0.8
Terraced House - 11 to 15 Windows - Inside only,5400,4200,14.4928,,0.8
