name,price,secondaryPrice,markupPercent,description,estimatedTimeHours
Curtain Installation - 4 Rods (Up To 1.5m each),16400,15100,28.2313,,2.5
Curtain Installation - 5 Rods (Up To 1.5m each),19400,18100,28.1609,,3
Curtain Installation - Rod (Up To 3m),9900,8500,29.6804,,1.4
Curtain Installation - 2 Rods (Up To 3m each),12900,11500,29.2321,,1.9
Curtain Installation - 3 Rods (Up To 3m each),15900,14600,28.9548,,2.4
Curtain Installation - 4 Rods (Up To 3m each),18900,17600,28.7663,,2.9
Curtain Installation - 5 Rods (Up To 3m each),21900,20600,28.6299,,3.4
Electric Blind Installation (battery/solar blinds),9400,8100,23.9726,,1.4
Install a wall-mounted coat rack,5900,4800,6.0606,,1
Door Hardware Installation - Knocker,7400,6100,28.7879,,1
Door Hardware Installation - Peephole,7400,6100,28.7879,,1
Smart Doorbell Installation,7400,6100,28.7879,,1
Outdoor Fixtures - Clothesline (Retractable),7400,6100,28.7879,,1
Outdoor Fixtures - Clothesline (Wall-Mounted),7400,6100,28.7879,,1
Install Loft Ladder,18400,17100,22.4138,,3
Mirror Hanging - Small (Up To 1m),7400,6100,28.7879,,1
Mirror Hanging - Large (Up To 2m),10400,9100,28.4946,,1.5
Picture Hanging - Single Frame (Up To 1m²),7400,6100,28.7879,,1
Picture Hanging - Multiple Frames (Up To 5 Items),10400,9100,28.4946,,1.5
Picture Hanging - Oversized Artwork (Up To 3m²),12900,11600,24.1667,,2
Picture Hanging - Gallery Wall (Up To 10 Items),15900,14600,24.8299,,2.5
Safety Devices - Install Smoke/CO Alarm (Battery),7400,6100,28.7879,,1
Shelving Units - Corner Shelves (Up To 3),10900,9600,27.439,,1.6
Shelving Units - Corner Shelves (Up To 6),15900,14600,28.9548,,2.4
Shelving Units - Floating Shelves (Up To 3),10900,9600,27.439,,1.6
Shelving Units - Floating Shelves (Up To 6),15900,14600,28.9548,,2.4
Shelving Installation - Up To 3 Shelves,6900,5600,21.2121,,1
Shelving Installation - Corner Shelf,6900,5600,21.2121,,1
Shelving Installation - Up To 6 Shelves,10900,9600,27.439,,1.6
Shelving Unit Installation - Up To 1m x 0.5m,6900,5600,21.2121,,1
Shelving Unit Installation -  Up To 3m x 1.5m,12900,11600,24.1667,,2
Single Stair Gate Install (Wall Fix),7400,6100,28.7879,,1
Single Stair Gate Install (Pressure Fit),7400,6100,28.7879,,1
Two Stair Gates Install,9400,8000,31.0219,,1.3
Key safe (lock box) installation,6400,5200,13.6364,,1
Storage Solutions - Wall Hooks (Up To 5),6900,5600,21.2121,,1
Storage Solutions - Pegboard,6900,5600,21.2121,,1
Storage Solutions - Bike Rack,10400,9100,28.4946,,1.5
TV Accessories - Wall-Mounted Soundbar,6900,5600,21.2121,,1
"TV Mounting - Small TV (Up To 48"""")",6900,5600,21.2121,,1
"TV Mounting - Large TV (Up To 100"""")",10400,9100,28.4946,,1.5
Electric Shower Installation,21900,20600,22.7713,,3.6
Mixer Shower Installation,21900,20600,22.7713,,3.6
Thermostatic Shower Installation,21900,20600,22.7713,,3.6
Power Shower Installation,35400,34100,22.0238,,6
Electric Shower Unit Replacement,19400,18100,24.8049,,3.1
